type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links,is_inverse_of,is_disjoint_with
# prefix,cx,,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,,,
# title,common ontology,,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,,
# description,"The Catena-X common ontology contains all domain-independent classes, attributes and relations.",,,,,,,,,,,,,
# import,,,,,,,,,,,,,,
class,intermediate product,product,,,,Zwischenprodukt,An intermediate product is a product that is used as a raw material or ingredient in the production of other products.,,,"intermediate goods, producer goods, semi-finished products",,https://en.wikipedia.org/wiki/Intermediate_good,,
class,financial service,service,,,,,,,,financial product,,https://schema.org/FinancialProduct,,
class,individual product,product,,,,,"A single, identifiable product instance (e.g. a laptop with a particular serial number).",,,,,https://schema.org/IndividualProduct,,
class,component,product,,,,Komponent,,,,,,,,
class,consortium,organisation,,,,,,,,,,https://schema.org/Consortium,,
relation,is member of,,organisation,consortium,,,,,,,,,,
class,project,organisation,,,,,,,,,,https://schema.org/Project,,
relation,is member of,,person,project,,,,,,,,,,
class,contact,immaterial thing,,,,Kontakt,,,,,,https://schema.org/ContactPoint,,
relation,has contact,,person,contact,,,,,,,,,,
class,automobile association,organisation,,,,Automobilclub,,,,,,https://en.wikipedia.org/wiki/Automobile_associations,,
automobile association,Allgemeiner Deutscher Automobilclub,,,,ADAC,ADAC,,,,,Allgemeiner Deutscher Automobilclub (ADAC),https://en.wikipedia.org/wiki/ADAC,,
automobile association,American Automobile Association,,,,,,,,,"American Automobile Association (AAA), Triple A",,https://en.wikipedia.org/wiki/American_Automobile_Association,,
class,brand,immaterial thing,,,,,,,,,,https://schema.org/Brand,,
relation,has brand,,product,brand,,,,,,,,,,
class,plant,place,,,,,,,,,,,,
relation,produces,,plant,product,,,,,,,,,,
class,production,process,,,,Produktion,,,,,,,,
relation,produces,,production,product,,,,,,,,,,
class,assembly,process,,,,Montage,,,,,,,,
relation,produces,,assembly,product,,,,,,,,,,
class,manufacturing,process,,,,Fertigung,,,,,,,,
relation,produces,,manufacturing,product,,,,,,,,,,
class,logistics,process,,,,Logistik,,,,,,,,
relation,transport,,logistics,material,,,,,,,,,,
class,building,place,,,,,,,,,,,,
class,city,place,,,,,,,,,,,,
class,country,place,,,,,,,,,,,,
class,eclipse dataspace connector,immaterial thing,,,Connector,,,,,eclipse dataspace connector (EDC),,https://projects.eclipse.org/proposals/eclipse-dataspace-connector,,
attribute,eclipse dataspace connector id,,eclipse dataspace connector,xsd:string,Connector Id,,,,,,,,,
attribute,eclipse dataspace connector url,,eclipse dataspace connector,xsd:string,Connector URL,,,,,,,,,
class,dataspace,immaterial thing,,,,,,,,,,https://en.wikipedia.org/wiki/Dataspaces,,
class,international dataspace,immaterial thing,,,,,,,,international data space (IDS),,https://de.wikipedia.org/wiki/International_Data_Spaces,,
class,application,immaterial thing,,,,,,,,"app, software application",,,,
class,broker,service,,,,,,,,,,,,
class,file format,information,,,,,,,,,,,,
class,catena x,consortium,,,,,,,,,,,,
class,data consumer,role,,,,,,ADAC,,,,,,
class,data provider,role,,,,,,BMW,,,,,,
class,contract,immaterial thing,,,,,,,,,,,,
class,encoding,immaterial thing,,,,,,,,,,,,
class,classification,immaterial thing,,,,,,,,,,,,
class,delivery,event,,,,,,,,,,,,
class,mail,material thing,,,,,,,,,,,,
class,email,immaterial thing,,,,,,,,,,,,
class,specification,information,,,,,"A specification is a document that outlines the requirements for a product, system, or service.",,,,,,,
class,technical standard,immaterial thing,,,,,,,,,,https://en.wikipedia.org/wiki/Technical_standard,,
attribute,technical standard standard number,,technical standard,xsd:string,,,,,,,,,,
attribute,technical standard standard name,,technical standard,xsd:string,,,,,,,,,,
class,open standard,immaterial thing,,,,,,,,,,https://en.wikipedia.org/wiki/Open_standard,,
class,DIN standard,technical standard,,,,,,,,Deutsches Institut für Normung (DIN),,https://de.wikipedia.org/wiki/Deutsches_Institut_f%C3%BCr_Normung,,
attribute,DIN number,,DIN standard,xsd:string,,,,,,,,,,
attribute,DIN name,,DIN standard,xsd:string,,,,,,,,,,
class,European Norm,technical standard,,,,Europäische Norm,,,,European Norm (EN),,https://en.wikipedia.org/wiki/European_Standard,,
attribute,EN number,,European Norm,xsd:string,,,,,,,,,,
attribute,EN name,,European Norm,xsd:string,,,,,,,,,,
class,ISO standard,technical standard,,,,,,,,International Organization for Standardization (ISO),,https://en.wikipedia.org/wiki/International_Organization_for_Standardization,,
attribute,ISO number,,ISO standard,xsd:string,,,,,,,,,,
attribute,ISO name,,ISO standard,xsd:string,,,,,,,,,,
attribute,identifier,,,xsd:string,,Identifikator,A string that identifies either a unique object or a unique class of objects.,"identifier (ID, Id)",top level attribute,,Kennzeichen,"https://en.wikipedia.org/wiki/Identifier, https://schema.org/identifier",,
attribute,unique identifier,,,xsd:string,,Unique Identifier,,unique identifier (UID),,,,https://en.wikipedia.org/wiki/Unique_identifier,,
