type,identifier,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,parents,is_part_of,relation_from,relation_to,links
# prefix,cx,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/,,,,,,,,,,,,
# title,vehicle component ontology,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,
# description,,,,,,,,,,,,,
# import,,common ontology,,,,,,,,,,,
class,manometer,,Druckmesser,,,,oil pressure gauge,,"vehicle component, vehicle instrument",instrument panel,,,https://en.wikipedia.org/wiki/Oil_pressure
class,tire pressure gauge,,Reifendruckmesser,,,,tyre pressure gauge,,"vehicle component, vehicle instrument",instrument panel,,,https://en.wikipedia.org/wiki/Tire-pressure_gauge
class,warning light,,Kontrollleuchte,,,,"tell tale, indicator light",,vehicle component,instrument panel,,,https://en.wikipedia.org/wiki/Tell-tale_(automotive)
class,check engine light,,Motorkontrollleuchte,,,,"malfunction indicator lamp, MIL",,vehicle component,instrument panel,,,https://en.wikipedia.org/wiki/Check_engine_light
class,body component,,Karosseriekomponente,,,,,,component,body component,,,
class,body in white,,Rohkarosserie,,,,"BIW, bodyshell, body shell","Rohbau, Rohbaukarosserie, RK","body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Body_in_white
class,body panel,,Karosserieteil,,,,,,"body component, vehicle component, structural component",body,,,
class,self supporting body,,Selbsttragende Karosserie,,,,self-supporting body,,"body component, vehicle component, structural component",body,,,
class,unibody,,Unibody,,,,"unit-body, unitary body, unitized body, unitary construction, integrated body",,"body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Vehicle_frame#Unibody
class,monocoque,,Monocoque,,,,,,"body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Monocoque
class,subframe,,Achsträger,,,,"chassis subframe, underframe",,"body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Subframe
class,floorpan,,Bodengruppe,,,,floor panel,,"body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Floorpan
class,crumple zone,,Knautschzone,,,,"crush zones, crash zones",,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Crumple_zone
class,safety cell,,Sicherheitszelle,,,,,"Fahrgastzelle, Sicherheitsfahrgastzelle","body component, vehicle component, structural component, safety component",body,,,https://de.wikipedia.org/wiki/Fahrgastzelle
class,roll cage,,Überrollvorrichtung,,,,,Überrollkäfig,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Roll_cage
class,strut bar,,Domstrebe,,,,"strut brace, or strut tower brace, STB",,"body component, vehicle component, structural component",body,,,https://en.wikipedia.org/wiki/Strut_bar
class,underbody,,Boden,,,,,,"body component, vehicle component, structural component",body,,,
class,underseal,,Unterbodenschutz,,,,undercoating,,"body component, vehicle component, functional component",body,,,https://en.wikipedia.org/wiki/Underseal
class,pillar,,Fahrzeugsäule,,,,,Säule,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Pillar_(car)
class,a pillar,,A Säule,,,,a-pillar,A-Säule,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Pillar_(car)
class,b pillar,,B Säule,,,,b-pillar,B-Säule,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Pillar_(car)
class,c pillar,,C Säule,,,,c-pillar,C-Säule,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Pillar_(car)
class,d pillar,,D Säule,,,,d-pillar,D-Säule,"body component, vehicle component, structural component, safety component",body,,,https://en.wikipedia.org/wiki/Pillar_(car)
class,side impact protection system,,Seitenaufprallschutz,,,,SIPS,,"body component, vehicle component, safety component, vehicle system",body,,,https://en.wikipedia.org/wiki/Side_Impact_Protection_System
class,exterior,,Fahrzeugexterieur,,,,vehicle exterior,Fahrzeugaußenseite,"body component, vehicle component",body,,,https://de.wikipedia.org/wiki/Exterieur
class,chassis component,,Fahrwerkskomponente,,,,,,component,chassis,,,
class,body on frame,,Karosserie in Rahmenbauweise,,,,"body-on-frame, ladder frame construction, frame construction",,"chassis component, vehicle component",chassis,,,https://en.wikipedia.org/wiki/Body-on-frame
class,brake system,,Bremsanlage,,,,"brake, braking, braking system","Bremssystem, Bremse","chassis component, vehicle component, functional component, vehicle system",chassis,,,https://en.wikipedia.org/wiki/Brake
class,brake lining,,Bremsbelag,,,,,,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Brake_lining
class,disc brake,,Scheibenbremse,,,,,,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Disc_brake
class,brake shoe,,Bremsklotz,,,,,,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Brake_shoe
class,brake pad,,Bremsbelag,,,,,,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Brake_pad
class,brake caliper,,Bremssattel,,,,caliper,Bremszange,"chassis component, vehicle component",brake system,,,https://de.wikipedia.org/wiki/Bremssattel
class,brake fluid,,Bremsflüssigkeit,,,,,,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Brake_fluid
class,electronic parking brake,,Elektrische Feststellbremse,,,,"electric parking brake, electric park brake, EPB",,"chassis component, vehicle component",brake system,,,https://en.wikipedia.org/wiki/Electronic_parking_brake
class,active rollover protection,,Überschlagschutzsystem,,,,"ARP, rollover protection",,"chassis component, vehicle component, electrical component",brake system,,,https://en.wikipedia.org/wiki/Active_rollover_protection
class,combined braking system,,Bremsanlage,,,,"CBS, linked braking system, LBS",,"chassis component, vehicle component, vehicle system",brake system,,,https://en.wikipedia.org/wiki/Combined_braking_system
class,suspension system,,"Radaufhängung, Federungssystem, Achsen",,,,"suspension, damper",,"chassis component, vehicle component, functional component, vehicle system",chassis,,,https://de.wikipedia.org/wiki/Radaufh%C3%A4ngung
class,axle,,Achse,,,,drive axle,,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Axle
class,front axle,,Vorderachse,,,,,,"chassis component, vehicle component",suspension system,,,
class,rear axle,,Hinterachse,,,,,,"chassis component, vehicle component",suspension system,,,
class,transaxle,,Transaxle,,,,,,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Transaxle
class,coil spring,,Schraubenfeder,,,,,"Feder, Fahrwerksfeder","chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Coil_spring
class,air spring,,Luftfeder,,,,,,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Air_suspension
class,coilover,,Federbein,,,,,,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Coilover
class,wishbone,,Querlenker,,,,,,"chassis component, vehicle component",suspension system,,,
class,anti roll bar,,Stabilisator,,,,"roll bar, anti-sway bar, sway bar, stabilizer bar",Rollstabilisierung,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Anti-roll_bar
class,car suspension,,Federung,,,,suspension,,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Car_suspension
class,shock absorber,,Stoßdämpfer,,,,damper,Dämpfer,"chassis component, vehicle component",suspension system,,,https://en.wikipedia.org/wiki/Shock_absorber
class,hydraulic shock absorber,,hydraulische Stoßdämpfer,,,,,,"chassis component, vehicle component",suspension system,,,
class,wheel suspension,,Radaufhängung,,,,,Radführung,"chassis component, vehicle component",suspension system,,,https://de.wikipedia.org/wiki/Radaufh%C3%A4ngung
class,wheel flange,,Radträger,,,,,Radflansch,"chassis component, vehicle component",suspension system,,,
class,strut bearing,,Federbeinlager,,,,,Domlager,"chassis component, vehicle component",suspension system,,,https://de.wikipedia.org/wiki/Domlager
class,strut tower,,Federbeindom,,,,,,"chassis component, vehicle component",suspension system,,,
class,wheel hub,,Radnabe,,,,,,"chassis component, vehicle component",rear axle,,,
class,swivel bearing,,Schwenklager,,,,,,"chassis component, vehicle component",suspension system,,,
class,steering,,Lenkung,,,,,,"chassis component, vehicle component",chassis,,,https://en.wikipedia.org/wiki/Steering
class,mechanical steering,,mechanische Lenkung,,,,,,"chassis component, vehicle component",steering,,,
class,power steering,,Servolenkung,,,,,,"chassis component, vehicle component",steering,,,https://en.wikipedia.org/wiki/Power_steering
class,hydraulic power steering,,hydraulische Servolenkung,,,,,,"chassis component, vehicle component",steering,,,
class,Electromechanical power steering,,elektromechanische Servolenkung,,,,EPS,,"chassis component, vehicle component",steering,,,
class,bearing,,Lager,,,,,,"chassis component, vehicle component",chassis,,,
class,wheel bearing,,Radlager,,,,,,"chassis component, vehicle component",bearing,,,
class,axle bearing,,Achslager,,,,,,"chassis component, vehicle component",bearing,,,
class,wheel speed sensor,,Raddrehzahlsensor,,,,,,"chassis component, vehicle component",bearing,,,
class,integrated chassis management,,,,,,ICM,,"chassis component, vehicle component",chassis,,,
class,kingpin,,Königszapfen,,,,"king pin, coupling pin",,"chassis component, vehicle component",steering,,,https://en.wikipedia.org/wiki/Kingpin_(automotive_part)
class,tow hitch,,Anhängerkupplung,,,,"tow bar, trailer hitch",,"chassis component, vehicle component",chassis,,,https://en.wikipedia.org/wiki/Tow_hitch
class,wheel,,Rad,,,,,,"chassis component, vehicle component",chassis,,,https://en.wikipedia.org/wiki/Drive_wheel
class,tire,,Reifen,,,,tyre,Autoreifen,"chassis component, vehicle component",wheel,,,https://en.wikipedia.org/wiki/Tire
class,tire pressure sensor,,Reifendrucksensor,,,,RDC,,"chassis component, vehicle component",wheel,,,
class,rim,,Felge,,,,alloy wheel,Autofelge,"chassis component, vehicle component",wheel,,,https://en.wikipedia.org/wiki/Rim_(wheel)
class,hubcap,,Radkappe,,,,hub cap,,"chassis component, vehicle component",wheel,,,https://en.wikipedia.org/wiki/Hubcap
class,nut,,Radschraube,,,,"wheel nut, lug nut",,"chassis component, vehicle component",wheel,,,https://en.wikipedia.org/wiki/Lug_nut
class,tire valve,,Reifenventil,,,,tyre valve,,"chassis component, vehicle component",wheel,,,
,,,,,,,,,,,,,
class,electric powertrain component,,Elektrische Antriebsstrangskomponente,,,,,,component,electric powertrain,,,
class,high voltage battery,,Hochvoltspeicher,,,,"battery, battery pack, high-voltage battery, high-voltage battery unit, high-voltage storage, HVS, HVB, traction battery, lithium-ion battery, HV battery, electric vehicle battery","Speicher, Hochvoltspeicher, HVS, Antriebsbatterie, Traktionsbatterie","electric powertrain component, vehicle component, functional component",electric powertrain,,,https://en.wikipedia.org/wiki/Electric_vehicle_battery
class,safety box,,Sicherheitsbox,,,,"S-box, s-box, s box",,"electric powertrain component, vehicle component",high voltage battery,,,
class,battery management system,,Batteriemanagementsystem,,,,"BMS, SME, battery management electronics, BME","BMS, Batteriemanagement","electric powertrain component, vehicle component, vehicle system",high voltage battery,,,https://en.wikipedia.org/wiki/Battery_management_system
class,cell supervision circuit,,Zellüberwachung,,,,CSC,,"electric powertrain component, vehicle component",high voltage battery,,,
class,high voltage connection,,Hochvoltstecker,,,,,,"electric powertrain component, vehicle component",high voltage battery,,,
class,coolant connection,,Kühlmittelanschluss,,,,,,"electric powertrain component, vehicle component",high voltage battery,,,
class,heating and cooling system,,,,,,,,"electric powertrain component, vehicle component, vehicle system",high voltage battery,,,
class,battery cooling system,,Kühlkreislauf,,,,,,"electric powertrain component, vehicle component",high voltage battery,,,
class,cell module,,Zellmodul,,,,"battery module, dual-cell module, single-cell module",,"electric powertrain component, vehicle component",high voltage battery,,,
class,venting unit,,Entlüftung,,,,,,"electric powertrain component, vehicle component",high voltage battery,,,
class,lithium ion cell,,Lithium-Ionen Zelle,,,,"battery cell, li-ion cell, lithium-ion cell","Zelle, Lithium-Ionen-Akkumulator","electric powertrain component, vehicle component",cell module,,,https://en.wikipedia.org/wiki/Lithium-ion_battery#Cells
class,module connector,,Modulstecker,,,,MC,,"electric powertrain component, vehicle component",cell module,,,
class,cell contacting system,,Zellkontaktierung,,,,CCS,Zellkontaktierungssystem,"electric powertrain component, vehicle component, vehicle system",cell module,,,
class,pressure plate,,Druckplatte,,,,PP,DP,"electric powertrain component, vehicle component",cell module,,,
class,tension plate,,Zuganker,,,,,ZA,"electric powertrain component, vehicle component",cell module,,,
class,cooling plate,,Wärrmeleitblech,,,,CP,WLB,"electric powertrain component, vehicle component",cell module,,,
class,heat exchanger,,Wärmetauscher,,,,,,"electric powertrain component, vehicle component",cell module,,,
class,heat shield,,Wärmeschutz,,,,,,"electric powertrain component, vehicle component",cell module,,,
class,battery temperature sensor,,Temperatursensor,,,,"thermistor, NTC",,"electric powertrain component, vehicle component, vehicle sensor",cell module,,,
class,electric compressor,,elektrischer Kompressor,,,,"electric A/C compressor, EKK",,"electric powertrain component, vehicle component",high voltage system,,,
class,electric heater,,Elektroerhitzer,,,,,,"electric powertrain component, vehicle component",high voltage system,,,
class,heat pump,,Wärmepumpe,,,,,,"electric powertrain component, vehicle component",high voltage system,,,
class,electric motor,,Elektromotor,,,,"electro motor, traction motor, HEAT, electrical machine, e-motor, electric drive unit","EM, E-Motor, E-Maschine, HEAT","electric powertrain component, vehicle component, functional component",electric powertrain,,,https://en.wikipedia.org/wiki/Electric_motor
class,electric drive,,Elektroantrieb,,,,electric drive unit,,"electric powertrain component, vehicle component, functional component",electric powertrain,,,
class,electric motor transmission,,Elektromaschinen-Getriebe,,,,,,"electric powertrain component, vehicle component",electric powertrain,,,
class,inverter,,Inverter,,,,"DC/DC converter, electrical machine electronics, EME",Wechselrichter,"electric powertrain component, vehicle component",electric powertrain,,,
class,high voltage connection,,Hochvoltstecker,,,,,,"electric powertrain component, vehicle component",electric powertrain,,,
class,charging system,,Ladegerät,,,,,,"electric powertrain component, vehicle component, vehicle system",electric powertrain,,,https://en.wikipedia.org/wiki/Battery_charger
class,charging port,,Ladebuchse,,,,,,"electric powertrain component, vehicle component",charging system,,,
class,charging unit,,Ladeelektronik,,,,"combined charging unit, CCU",,"electric powertrain component, vehicle component",charging system,,,
class,high voltage connection,,Hochvoltstecker,,,,high-voltage connection,,"electric powertrain component, vehicle component",charging system,,,
class,fuel cell stack,,Brennstoffzellenstack,,,,,,"electric powertrain component, vehicle component",electric powertrain,,,
class,fuel cell,,Brennstoffzelle,,,,,,"electric powertrain component, vehicle component",electric powertrain,,,https://en.wikipedia.org/wiki/Fuel_cell
,,,,,,,,,,,,,
class,engine component,,Motorkomponente,,,,,,component,powertrain,,,
class,drive unit,,"Antrieb, Antriebseinheit","engine, electromotor",,,"propulsion, propulsion system, powerplant",,"engine component, vehicle component",powertrain,,,https://en.wikipedia.org/wiki/Propulsion
class,engine,,Motor,,,,"internal combustion engine (ICE), internal combustion (IC) engine",Verbrennungsmotor,"engine component, vehicle component, final product",powertrain,,,https://en.wikipedia.org/wiki/Internal_combustion_engine
class,diesel engine,,,,,,,,engine,,,,https://en.wikipedia.org/wiki/Diesel_engine
class,petrol engine,,,,,,,,engine,,,,https://en.wikipedia.org/wiki/Petrol_engine
class,engine control unit,,Motorsteuerung,,,,ECU,Motorsteuergerät,"engine component, vehicle component",engine,,,https://en.wikipedia.org/wiki/Engine_control_unit
class,head gasket,,Zylinderkopfdichtung,,,,,ZKD,"engine component, vehicle component, gasket, seal",engine,,,https://en.wikipedia.org/wiki/Head_gasket
class,balance shaft,,Ausgleichswelle,,,,,,"engine component, vehicle component",engine,,,https://en.wikipedia.org/wiki/Balance_shaft
class,starter motor,,Motoranlasser,,,,starter,"Anlasser, Starter","engine component, vehicle component, electrical component",engine,,,https://en.wikipedia.org/wiki/Starter_(engine)
class,starter battery,,Starterbatterie,,,,"automotive battery, car battery",,"engine component, vehicle component, electrical component",engine,,,https://en.wikipedia.org/wiki/Automotive_battery
