type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,Ontology for vehicles in the automotive industry.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,part ontology,,,,,,,,,,,
class,Battery Electric Vehicle,electric vehicle,,,,,"are powered solely by an electric motor, using electricity stored in an on-board battery.",,,Battery Electric Vehicle (BEV),,https://en.wikipedia.org/wiki/Battery_electric_vehicle
class,Hybrid Electric Vehicle,electric vehicle,,,,,"combine an internal combustion engine and an electric motor that assists the conventional engine, for example during vehicle acceleration. ",,,Hybrid Electric Vehicle (HEV),,https://en.wikipedia.org/wiki/Hybrid_electric_vehicle
class,Plug-in Hybrid Electric Vehicle,electric vehicle,,,,,are powered by an electric motor and an internal combustion engine that work together or separately.,,,"Plug-in Hybrid Electric Vehicle (PHEV), new energy vehicle (NEV)",,https://en.wikipedia.org/wiki/Plug-in_electric_vehicle
class,Fuel Cell Electric Vehicle,electric vehicle,,,,,,,,"Fuel Cell Electric Vehicle (FCEV), fuel cell vehicle (FCV)",,https://en.wikipedia.org/wiki/Fuel_cell_vehicle
class,Range extended electric vehicle,electric vehicle,,,,,,,,Range extended electric vehicle (REEV),,
class,mild hybrid electric vehicle,electric vehicle,,,,,,,,mild hybrid electric vehicle (MHEV),,
class,euro car segment,classification,,,,Euro Fahrzeugsegment,Car classification by market segment.,,,,,"https://en.wikipedia.org/wiki/Euro_Car_Segment, https://en.wikipedia.org/wiki/Vehicle_size_class"
relation,has euro car segment,,vehicle,euro car segment,,,,,,,,
euro car segment,A,,,,mini car,Kleinstwagen,,"Smart, Up, 500, Panda, Twingo",,"minicompact car, city car",,https://en.wikipedia.org/wiki/A-segment
euro car segment,B,,,,small car,Kleinwagen,,"Mini, Polo, Fiesta",,"subcompact car, supermini car",,https://en.wikipedia.org/wiki/B-segment
euro car segment,C,,,,medium car,Mittelklasse,,"1er, A-class, Golf, Corolla",,"compact car, small family car",,https://en.wikipedia.org/wiki/C-segment
euro car segment,D,,,,large car,Obere Mittelklasse,,"3er, C-class, Passat",,"mid-size car, large family car",,https://en.wikipedia.org/wiki/D-segment
euro car segment,E,,,,executive car,Oberklasse,,"5er, E-class, A6",,full-size car,,https://en.wikipedia.org/wiki/E-segment
euro car segment,F,,,,luxury car,Luxusklasse,,"7er, S-class, A8",,"full-size luxury car, luxury saloon car",,https://en.wikipedia.org/wiki/F-segment
euro car segment,J,,,,sport utility car,Geländewagen,,"X5, Wrangler",,sport utility vehicle (SUV),,https://en.wikipedia.org/wiki/Sport_utility_vehicle
euro car segment,M,,,,multi-purpose car,Mehrzweckfahrzeuge,,"Sharan, Sprinter",,,,https://en.wikipedia.org/wiki/M-segment
euro car segment,S,,,,sports coupé,Sportwagen,,"Z4, TT",,roadster sport,,https://en.wikipedia.org/wiki/S-segment
class,EU vehicle class,classification,,,,,,,,,,"https://de.wikipedia.org/wiki/EG-Fahrzeugklasse, https://en.wikipedia.org/wiki/Vehicle_category#EU_classification"
EU vehicle class,L,,,,motorcycle,Leichte KFZ,,,,,,
