type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
attribute,rim,,vehicle suspension information,xsd:string,,,,,,,,https://en.wikipedia.org/wiki/Rim_(wheel)
class,vehicle lighting information,vehicle information,,,,,,,,,,
attribute,has automatic head lights,,vehicle lighting information,xsd:boolean,,,,,,,,
attribute,has fog lights,,vehicle lighting information,xsd:boolean,,,,,,,,
class,vehicle safety information,vehicle information,,,,,,,,,,
attribute,number of airbags,,vehicle safety information,xsd:integer,,Anzahl der Airbags,The number or type of airbags in the vehicle.,"1, 2, 3",,,,https://schema.org/numberOfAirbags
attribute,assistance system,,vehicle suspension information,xsd:string,,,,,,,,
class,vehicle dimension information,vehicle information,,,Dimensions,,,,,,,
relation,has vehicle dimensions,,vehicle,vehicle dimension information,,,,,,,,
attribute,vehicle length,,vehicle dimension information,xsd:double,,,,,in cm,,,https://schema.org/depth
attribute,vehicle width,,vehicle dimension information,xsd:double,,,,,in cm,,,https://schema.org/width
attribute,vehicle height,,vehicle dimension information,xsd:double,,,,,in cm,,,https://schema.org/height
attribute,vehicle wheelbase,,vehicle dimension information,xsd:double,,Radstand,The distance between the centers of the front and rear wheels.,,in cm,wheel base,,"https://schema.org/wheelbase, https://en.wikipedia.org/wiki/Wheelbase"
attribute,vehicle turning radius,,vehicle dimension information,xsd:double,,,,,in meters,turning diameter,,https://en.wikipedia.org/wiki/Turning_radius
attribute,vehicle ground clearance,,vehicle dimension information,xsd:double,,Bodenabstand,,,in cm,,Bodenfreiheit,
attribute,vehicle weight,,vehicle dimension information,xsd:double,,Fahrzeuggewicht,,1500.0,in kilogramms,,,"https://schema.org/weight, https://en.wikipedia.org/wiki/Vehicle_weight"
attribute,vehicle curb weight,,vehicle dimension information,xsd:double,,Leergewicht,"The total mass of a vehicle with standard equipment and all necessary operating consumables such as motor oil, transmission oil, brake fluid, coolant, air conditioning refrigerant, and sometimes a full tank of fuel, while not loaded with either passengers or cargo.",1500.0,in kilogramms,kerb weight,Leermasse,https://en.wikipedia.org/wiki/Vehicle_weight#Curb_weight
attribute,vehicle dry weight,,vehicle dimension information,xsd:double,,,"Dry weight is the weight of a vehicle without any consumables, passengers, or cargo.",,,,,https://en.wikipedia.org/wiki/Vehicle_weight#Dry_weight
